Kanji,Hiragana,NghiaTiengViet
男性,だんせい,đàn ông
女性,じょせい,đàn bà
男女,だんじょ,đàn ông và đàn bà
性別,せいべつ,giới tính
高齢,こうれい,cao tuổi
元気,げんき,khỏe mạnh
年上,としうえ,hơn tuổi
年下,としした,ít tuổi hơn
年長,ねんちょう,nhiều tuổi hơn
目上,めうえ,người trên
敬語,けいご,lời kính ngữ
先輩,せんぱい,đàn anh/đàn chị
後輩,こうはい,đàn em
上司,じょうし,cấp trên
部下,ぶか,cấp dưới
同僚,どうりょう,đồng nghiệp
相手,あいて,người hội thoại/đối thủ
知り合い,しりあい,người quen
知人,ちじん,người quen
友人,ゆうじん,bạn
親友,しんゆう,bạn thân
仲,なか,quan hệ
生年月日,せいねんがっぴ,ngày tháng năm sinh
誕生日,たんじょうび,sinh nhật
誕生,たんじょう,sinh ra/ra đời
年,とし,năm/tuổi
年齢,ねんれい,tuổi
出身,しゅっしん,xuất thân
故郷,こきょう,quê hương
成長,せいちょう,trưởng thành/tăng trưởng
成人,せいじん,người trưởng thành
合格,ごうかく,đỗ/đạt
進学,しんがく,học lên
退学,たいがく,thôi học
就職,しゅうしょく,được tuyển dụng/làm việc
退職,たいしょく,thôi việc
失業,しつぎょう,thất nghiệp
残業,ざんぎょう,việc làm thêm giờ
生活,せいかつ,sinh hoạt/cuộc sống
通勤,つうきん,đi làm
学歴,がくれき,trình độ học vấn
給料,きゅうりょう,lương
面接,めんせつ,phỏng vấn
休憩,きゅうけい,nghỉ
観光,かんこう,tham quan/du lịch
帰国,きこく,về nước
帰省,きせい,về quê
帰宅,きたく,về nhà
参加,さんか,tham gia
出席,しゅっせき,tham dự
欠席,けっせき,không tham dự
遅刻,ちこく,đi muộn
化粧,けしょう,trang điểm
計算,けいさん,tính toán
計画,けいかく,kế hoạch
成功,せいこう,thành công
失敗,しっぱい,thất bại
準備,じゅんび,chuẩn bị
整理,せいり,sắp xếp
注文,ちゅうもん,đặt hàng
貯金,ちょきん,để dành tiền
徹夜,てつや,thức thâu đêm
引っ越し,ひっこし,chuyển nhà
身長,しんちょう, chiều cao
体重,たいじゅう,cân nặng
けが,,vết thương
会,かい,buổi tiệc
趣味,しゅみ,sở thích
興味,きょうみ,quan tâm
思い出,おもいで,kỷ niệm
冗談,じょうだん,đùa
目的,もくてき,mục đích
約束,やくそく,hẹn
おしゃべり,,nói chuyện
